Assembly_barcode	year_range	year_range_colour	Disease	Disease_color	Isolate source	isolate_source_colour	Capsule_color	Best match locus	Continent	continent_color
ESC_EC6157AA_AS	2010-2014	#1f78b4	other	#afafaf	Animal	#7fc97f	#fd088e	KL54	Europe	#a6cee3
ESC_EC6192AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#6A3D9A	KL20	Europe	#a6cee3
ESC_EC6196AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_EC6197AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#005A9C	KL115	Europe	#a6cee3
ESC_EC6210AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_EC6712AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	NA	NA
ESC_EC6745AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	NA	NA
ESC_EC6764AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#005A9C	KL115	NA	NA
ESC_EC6774AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	NA	NA
ESC_EC6811AA_AS	2005-2009	#abd9e9	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	NA	NA
ESC_EC6875AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_EC7404AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	NA	NA
ESC_EC7414AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	KL125	NA	NA
ESC_EC7419AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	NA	NA
ESC_EC7421AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	NA	NA
ESC_EC7423AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	NA	NA
ESC_EC7427AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	NA	NA
ESC_EC7428AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	NA	NA
ESC_EC7443AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	NA	NA
ESC_EC7449AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#abf186	KL14	NA	NA
ESC_EC7462AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	NA	NA
ESC_EC7467AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	NA	NA
ESC_EC7474AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	NA	NA
ESC_EC7488AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	NA	NA
ESC_EC7504AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	NA	NA
ESC_EC7512AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	KL125	NA	NA
ESC_EC7517AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL31	NA	NA
ESC_EC7548AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#d5d36e	KL9	NA	NA
ESC_EC7846AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	KL16	Africa	#b2df8a
ESC_EC7929AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#d5d36e	KL9	NA	NA
ESC_EC8472AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_FC6191AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	KL137	North America	#33a02c
ESC_EC9491AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL125	South America	#fb9a99
ESC_EC9502AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL125	South America	#fb9a99
ESC_FC0050AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#4695f0	KL103	South America	#fb9a99
ESC_FC0340AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	South America	#fb9a99
ESC_FC0341AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	South America	#fb9a99
ESC_FC0959AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	South America	#fb9a99
ESC_EC8933AA_AS	2015-2019	#fdae61	other	#afafaf			#3dfc7d	KL30	Africa	#b2df8a
ESC_EC9116AA_AS	2020-2024	#d73027	other	#afafaf			#4695f0	KL103	South America	#fb9a99
ESC_EC9169AA_AS	2020-2024	#d73027	other	#afafaf			#4695f0	KL103	South America	#fb9a99
ESC_EC9208AA_AS	2020-2024	#d73027	other	#afafaf			#4695f0	KL103	South America	#fb9a99
ESC_FC7668AA_AS	2020-2024	#d73027	other	#afafaf			#afafaf	Unassigned	South America	#fb9a99
ESC_FC7671AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_FC1958AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_FC8411AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_FC3328AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_FC3329AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_FC3333AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_FC3894AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC3464AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	Africa	#b2df8a
ESC_FC4167AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_FC5302AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_FC5634AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_FC5636AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_FC5639AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_FC5640AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_GC7107AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_FC6760AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	South America	#fb9a99
ESC_FC7904AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_GC0023AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_GC0036AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC0061AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC0076AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0091AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0093AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0102AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0109AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0145AA_AS	2015-2019	#fdae61	blood	red	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_GC0149AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0151AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0155AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0158AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_GC0159AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0163AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#d5d36e	KL9	Europe	#a6cee3
ESC_GC0173AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_GC0177AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0196AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Europe	#a6cee3
ESC_GC0198AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0205AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#0835fd	KL53	Europe	#a6cee3
ESC_GC0228AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#35978f	KL48	Europe	#a6cee3
ESC_GC0236AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0249AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0254AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0260AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC0290AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC1450AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_GC1517AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC1562AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_GC1657AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#FF7F00	KL35	North America	#33a02c
ESC_GC1713AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC1781AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_GC1783AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_GC1959AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_GC1963AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_GC2299AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC2303AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	KL16	North America	#33a02c
ESC_GC2304AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC2572AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC2599AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC2604AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#d37505	KL114	Europe	#a6cee3
ESC_GC2612AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#4695f0	KL103	Europe	#a6cee3
ESC_GC2730AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC2765AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#005A9C	KL115	Europe	#a6cee3
ESC_GC2789AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#fd088e	KL54	Europe	#a6cee3
ESC_GC2869AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_GC3775AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC3778AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC3840AA_AS	2020-2024	#d73027	other	#afafaf			#35978f	KL48	NA	NA
ESC_GC4015AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC0921AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#d66384	KL101	Africa	#b2df8a
ESC_HC1080AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	Africa	#b2df8a
ESC_HC1128AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_HC1151AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Africa	#b2df8a
ESC_HC1153AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Africa	#b2df8a
ESC_HC1234AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_HC1457AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#d66384	KL101	Africa	#b2df8a
ESC_HC1464AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Africa	#b2df8a
ESC_HC1584AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_HC1780AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	KL16	Asia	#1f78b4
ESC_GC5590AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC1864AA_AS	NA	white	other	#afafaf			#d66384	KL101	Africa	#b2df8a
ESC_HC1884AA_AS	NA	white	other	#afafaf			#4695f0	KL103	Africa	#b2df8a
ESC_HC1921AA_AS	NA	white	other	#afafaf			#afafaf	KL125	Africa	#b2df8a
ESC_HC1922AA_AS	NA	white	other	#afafaf			#d66384	KL101	Africa	#b2df8a
ESC_HC2004AA_AS	NA	white	other	#afafaf			black	KL124	Africa	#b2df8a
ESC_GC6810AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_GC6816AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	KL125	North America	#33a02c
ESC_GC6881AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC6882AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_GC7133AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_GC7134AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_GC7338AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC7506AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_GC8440AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#d37505	KL114	North America	#33a02c
ESC_GC8441AA_AS	2020-2024	#d73027	other	#afafaf			black	KL124	North America	#33a02c
ESC_GC8442AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_GC8462AA_AS	2015-2019	#fdae61	other	#afafaf			#E31A1C	KL57	Asia	#1f78b4
ESC_GC9787AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_HC0093AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_HC0094AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_HC0119AA_AS	2015-2019	#fdae61	other	#afafaf			#6A3D9A	KL20	Asia	#1f78b4
ESC_HC0188AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#6A3D9A	KL20	Asia	#1f78b4
ESC_HC0206AA_AS	2015-2019	#fdae61	other	#afafaf			#3dfc7d	KL30	Asia	#1f78b4
ESC_HC0218AA_AS	2015-2019	#fdae61	other	#afafaf			#6A3D9A	KL20	Asia	#1f78b4
ESC_HC0638AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_HC0639AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_HC0642AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#d37505	KL114	North America	#33a02c
ESC_HC0643AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	black	KL124	North America	#33a02c
ESC_HC0644AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	black	KL124	North America	#33a02c
ESC_HC0645AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_HC0675AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_HC3086AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_HC3087AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC4467AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC4617AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_HC4685AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_HC5412AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_HC5950AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	NA	NA
ESC_HC6676AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6677AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6678AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6679AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6680AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6683AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6685AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6686AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_HC6689AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6796AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC6797AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC7060AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC7299AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	North America	#33a02c
ESC_HC7810AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_HC7933AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_HC7934AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_HC8093AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_HC8308AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC8309AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC8345AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_HC8411AA_AS	NA	white	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC8412AA_AS	NA	white	other	#afafaf	Human	#fdc086	#aac201	KL121	North America	#33a02c
ESC_HC8413AA_AS	NA	white	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC8439AA_AS	NA	white	other	#afafaf	Human	#fdc086	#afafaf	KL60	North America	#33a02c
ESC_HC8440AA_AS	NA	white	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_HC8466AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#abf186	KL14	North America	#33a02c
ESC_HC8470AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_HC8471AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC8744AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC9293AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_HC9316AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_HC9354AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_HC9356AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_HC9364AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_HC9371AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Africa	#b2df8a
ESC_HC9399AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC9402AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_HC9436AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_HC9469AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_HC9517AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC9519AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_HC9946AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_HC9954AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_HC9957AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#0835fd	KL53	North America	#33a02c
ESC_IC0144AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_IC0194AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_IC0653AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_IC0654AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_IC0655AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_IC0680AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_IC0681AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_IC0704AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	KL137	North America	#33a02c
ESC_IC1847AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_IC1881AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_IC1882AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_IC1883AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_IC2079AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_IC2130AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_IC2752AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_IC2805AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_IC2869AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_IC2870AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	KL137	North America	#33a02c
ESC_IC3750AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_IC3752AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_IC3268AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_JC4557AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
