Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
ESC_IC7404AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.20%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC7411AA_AS	KL107	unknown (KL107)	None	?-+*	84.06%	85.95%	n/a	10 / 16 (62.5%)	KL107_01_galF,97.993%;KL107_03_wzi,96.444%;KL107_04_wza,95.733%;KL107_05_wzb,80.0%;KL107_11_gnd,99.147%;KL107_12,99.155%;KL107_13,97.931%;KL107_14,99.663%;KL107_15,98.378%;KL107_16_ugd,99.743%	KL107_02_cpsACP;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10	3	KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%	0 / 16 (0%)		3	KL124_15_wzx,99.548%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC8474AA_AS	KL30	K30	None	?-*	66.63%	96.53%	n/a	11 / 20 (55%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_07_wcuL;KL30_08_wzx;KL30_09_wcuD;KL30_10_wzy;KL30_11_wckP;KL30_12_wckO;KL30_13_wckN;KL30_14;KL30_15_wcuG	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC8900AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC9262AA_AS	KL30	K30	Good	?*	98.41%	95.86%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.009%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_IC9473AA_AS	KL30	K30	Good	?*	98.41%	95.86%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.009%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_IC9934AA_AS	KL30	K30	Good	?-*	95.88%	95.89%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC9935AA_AS	KL30	K30	Good	?-*	95.88%	95.89%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC9940AA_AS	KL48	K48	Very high		100.00%	98.85%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.582%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,99.787%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC9941AA_AS	KL30	K30	Good	?-*	95.88%	95.89%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,95.082%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC9948AA_AS	KL30	K30	Good	?-*	95.88%	95.89%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC9949AA_AS	KL30	K30	Good	?-*	95.88%	95.89%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_IC9952AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JA0067AA_AS	KL20	K20	Low	?-	94.71%	98.35%	n/a	17 / 18 (94.4%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.52%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP	0		0 / 18 (0%)		1	KL131_09_rmlB,80.226%
ESC_JA0128AA_AS	KL127	unknown (KL127)	Good	?-*	98.58%	94.84%	n/a	18 / 19 (94.7%)	KL127_01_galF,99.331%;KL127_02_cpsACP,93.333%;KL127_03_wzi,96.042%;KL127_04_wza,98.417%;KL127_05_wzb,97.241%;KL127_06_wzc,95.856%;KL127_07_wbaP,94.538%;KL127_08_wctK,95.484%;KL127_09_wzy,94.145%;KL127_10,91.4%;KL127_11,94.054%;KL127_12_wcpJ,95.225%;KL127_14_gnd,97.655%;KL127_15_rmlB,97.183%;KL127_16_rmlA,98.276%;KL127_17_rmlD,98.99%;KL127_18_rmlC,96.216%;KL127_19_ugd,95.887%	KL127_13	0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JA0213AA_AS	KL115	unknown (KL115)	Good	?	98.80%	98.62%	n/a	20 / 20 (100%)	KL115_01_galF,98.662%;KL115_02_cpsACP,98.571%;KL115_03_wzi,99.163%;KL115_04_wza,99.208%;KL115_05_wzb,100.0%;KL115_06_wzc,99.168%;KL115_07_wbaP,99.58%;KL115_08_wcuF,98.898%;KL115_09_wcmY,100.0%;KL115_10_wzy,98.81%;KL115_11_wcqJ,100.0%;KL115_12_wctX,99.609%;KL115_13_wcuC,99.401%;KL115_14_wzx,99.274%;KL115_15_gnd,99.36%;KL115_16_rmlB,99.155%;KL115_17_rmlA,100.0%;KL115_18_rmlD,98.653%;KL115_19_rmlC,99.459%;KL115_20_ugd,99.486%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JA0333AA_AS	KL158	unknown (KL158)	High	-*	100.00%	99.27%	+1333 bp	21 / 22 (95.5%)	KL158_01_galF,99.331%;KL158_02_cpsACP,93.333%;KL158_03_wzi,99.582%;KL158_04_wza,99.736%;KL158_05_wzb,99.315%;KL158_06_wzc,99.721%;KL158_07_wcaA,99.67%;KL158_08_wcaJ,100.0%;KL158_09,100.0%;KL158_10,100.0%;KL158_11_wfgD,100.0%;KL158_12,99.664%;KL158_14,99.523%;KL158_15,99.857%;KL158_16_wzx,99.794%;KL158_17_gnd,100.0%;KL158_18_rmlB,99.437%;KL158_19_rmlA,100.0%;KL158_20_rmlD,100.0%;KL158_21_rmlC,100.0%;KL158_22_ugd,99.743%	KL158_13_cysE	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JA0437AA_AS	KL35	K35	Good	?*	98.37%	96.04%	n/a	20 / 20 (100%)	KL35_01_galF,98.997%;KL35_02_cpsACP,91.346%;KL35_03_wzi,97.28%;KL35_04_wza,98.677%;KL35_05_wzb,98.621%;KL35_06_wzc,98.75%;KL35_07_wzy,98.02%;KL35_08_wcuC,97.15%;KL35_09_wckM,97.938%;KL35_10_wckL,96.257%;KL35_11_wcuQ,99.241%;KL35_12_wzx,96.477%;KL35_13_wckK,98.471%;KL35_14_wbaZ,97.143%;KL35_15_wcaJ,98.498%;KL35_16_wclK,95.48%;KL35_17_gnd,99.787%;KL35_18_manC,97.881%;KL35_19_manB,99.781%;KL35_20_ugd,99.229%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JA0572AA_AS	KL35	K35	Good	?*	98.37%	96.04%	n/a	20 / 20 (100%)	KL35_01_galF,98.997%;KL35_02_cpsACP,91.346%;KL35_03_wzi,97.28%;KL35_04_wza,98.677%;KL35_05_wzb,98.621%;KL35_06_wzc,98.75%;KL35_07_wzy,98.02%;KL35_08_wcuC,97.15%;KL35_09_wckM,97.938%;KL35_10_wckL,96.257%;KL35_11_wcuQ,99.241%;KL35_12_wzx,96.477%;KL35_13_wckK,98.471%;KL35_14_wbaZ,97.143%;KL35_15_wcaJ,98.498%;KL35_16_wclK,95.48%;KL35_17_gnd,99.787%;KL35_18_manC,97.881%;KL35_19_manB,99.781%;KL35_20_ugd,99.229%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JA0577AA_AS	KL20	K20	Low	?-	94.56%	98.27%	n/a	16 / 18 (88.9%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.76%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP;KL20_08_wzy	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JA5254AA_AS	KL31	K31	Good	?-	96.50%	98.99%	n/a	19 / 20 (95%)	KL31_01_galF,98.328%;KL31_03_wzi,98.614%;KL31_04_wza,100.0%;KL31_05_wzb,99.315%;KL31_06_wzc,99.584%;KL31_07_wctG,99.454%;KL31_08_wcuP,99.288%;KL31_09_wzy,99.455%;KL31_10_wcuC,99.707%;KL31_11_wbaZ,99.743%;KL31_12_wcaJ,99.089%;KL31_13_wctH,99.388%;KL31_14_wctI,99.349%;KL31_15_wzx,100.0%;KL31_16_wcuJ,100.0%;KL31_17_gnd,99.787%;KL31_18_manC,99.153%;KL31_19_manB,98.906%;KL31_20_ugd,99.743%	KL31_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JB5546AA_AS	KL30	K30	Good	?-+*	95.86%	95.88%	n/a	17 / 20 (85%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP;KL30_10_wzy;KL30_15_wcuG	1	KL104_18,95.122%	0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JB5551AA_AS	KL30	K30	Good	?-*	95.88%	95.89%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JB8207AA_AS	KL35	K35	Good	?*	98.37%	96.04%	n/a	20 / 20 (100%)	KL35_01_galF,98.997%;KL35_02_cpsACP,91.346%;KL35_03_wzi,97.28%;KL35_04_wza,98.677%;KL35_05_wzb,98.621%;KL35_06_wzc,98.75%;KL35_07_wzy,98.02%;KL35_08_wcuC,97.15%;KL35_09_wckM,97.938%;KL35_10_wckL,96.257%;KL35_11_wcuQ,99.241%;KL35_12_wzx,96.477%;KL35_13_wckK,98.471%;KL35_14_wbaZ,97.143%;KL35_15_wcaJ,98.498%;KL35_16_wclK,95.48%;KL35_17_gnd,99.787%;KL35_18_manC,97.881%;KL35_19_manB,99.781%;KL35_20_ugd,99.229%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0033AA_AS	KL30	K30	Good	?-*	95.88%	95.89%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0198AA_AS	KL20	K20	Good	-	94.71%	98.36%	-1301 bp	17 / 18 (94.4%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.52%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0440AA_AS	KL30	K30	Good	?-*	95.88%	95.89%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0444AA_AS	KL30	K30	Good	?-*	95.88%	95.88%	n/a	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.486%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0458AA_AS	KL9	K9	Good	?-	98.70%	96.80%	n/a	18 / 19 (94.7%)	KL9_01_galF,98.997%;KL9_03_wzi,98.812%;KL9_04_wza,98.681%;KL9_05_wzb,99.31%;KL9_06_wzc,99.446%;KL9_07_wbaP,98.739%;KL9_08,98.68%;KL9_09,98.722%;KL9_10,98.465%;KL9_11,98.621%;KL9_12,98.387%;KL9_13_wzx,99.05%;KL9_14_gnd,99.574%;KL9_15_rmlB,98.873%;KL9_16_rmlA,97.917%;KL9_17_rmlD,99.327%;KL9_18_rmlC,97.838%;KL9_19_ugd,100.0%	KL9_02_cpsACP	0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0510AA_AS	KL39	K39	Good	?	99.54%	98.34%	n/a	20 / 20 (100%)	KL39_01_galF,100.0%;KL39_02_cpsACP,97.619%;KL39_03_wzi,98.536%;KL39_04_wza,99.472%;KL39_05_wzb,100.0%;KL39_06_wzc,99.167%;KL39_07,99.18%;KL39_08_wzy,99.752%;KL39_09_mshA,99.104%;KL39_10_epsH,99.301%;KL39_11_epsJ,98.802%;KL39_12_wzx,99.584%;KL39_13,99.12%;KL39_14,99.08%;KL39_15_wbaZ,98.961%;KL39_16_wcaJ,99.323%;KL39_17_gnd,99.574%;KL39_18_manC,95.975%;KL39_19_manB,98.249%;KL39_20_ugd,100.0%		0		0 / 20 (0%)		3	KL150_19_gmd,98.209%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0511AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,99.718%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0514AA_AS	KL48	K48	Very high		100.00%	98.85%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.582%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,99.787%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_JC0520AA_AS	KL48	K48	Good	?	100.00%	98.86%	n/a	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		2	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%
ESC_JC0521AA_AS	KL39	K39	Good	?	99.54%	98.34%	n/a	20 / 20 (100%)	KL39_01_galF,100.0%;KL39_02_cpsACP,97.619%;KL39_03_wzi,98.536%;KL39_04_wza,99.472%;KL39_05_wzb,100.0%;KL39_06_wzc,99.028%;KL39_07,99.18%;KL39_08_wzy,99.752%;KL39_09_mshA,99.104%;KL39_10_epsH,99.301%;KL39_11_epsJ,98.802%;KL39_12_wzx,99.584%;KL39_13,99.12%;KL39_14,99.08%;KL39_15_wbaZ,98.961%;KL39_16_wcaJ,99.356%;KL39_17_gnd,99.574%;KL39_18_manC,95.975%;KL39_19_manB,98.249%;KL39_20_ugd,100.0%		0		0 / 20 (0%)		3	KL150_19_gmd,98.209%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
